,Unnamed: 0,id,image_id,bbox,utf8_string,points,area
588629,588629,e1c0462b55c6ad7e_51,e1c0462b55c6ad7e,"[479.56, 174.6, 39.51, 10.88]",(label);,"[479.56, 175.78, 517.89, 174.6, 519.07, 185.24, 480.03, 185.48]",429.87
36403,36403,abc1230125f7fd82_165,abc1230125f7fd82,"[314.0, 748.85, 26.65, 11.35]",.,"[314.0, 750.7, 339.86, 748.85, 340.65, 758.09, 314.0, 760.2]",302.48
751834,751834,a6ac3ad8341ac55f_73,a6ac3ad8341ac55f,"[880.47, 495.15, 39.44, 12.35]",—a,"[881.84, 495.15, 919.91, 495.15, 919.91, 507.5, 880.47, 506.47]",487.08
181422,181422,03cd4987c51f2db9_14,03cd4987c51f2db9,"[523.54, 911.77, 169.43, 47.43]",Brotherly,"[523.71, 911.77, 692.81, 911.77, 692.97, 959.04, 523.54, 959.2]",8036.06
542290,542290,c2d74c395fc07bd3_18,c2d74c395fc07bd3,"[673.9, 61.13, 156.85, 52.16]",GEORGE,"[673.9, 68.32, 829.24, 61.13, 830.75, 105.73, 673.9, 113.29]",8181.3
33722,33722,40bd0301e9cad2c9_228,40bd0301e9cad2c9,"[259.49, 240.71, 5.41, 10.16]",.,"[264.64, 240.71, 264.9, 250.47, 259.62, 250.87, 259.49, 241.1]",54.97
749251,749251,0cda4b9049171bac_10,0cda4b9049171bac,"[609.76, 372.47, 9.1, 37.6]",SONY.,"[617.26, 372.47, 618.86, 409.47, 611.76, 410.07, 609.76, 372.67]",342.16
265313,265313,01d5fb2b40e11c86_104,01d5fb2b40e11c86,"[57.94, 983.95, 6.99, 7.52]",a,"[57.94, 983.95, 64.41, 983.95, 64.93, 991.21, 58.47, 991.47]",52.56
499631,499631,4ed19411ee9203fa_10,4ed19411ee9203fa,"[147.87, 78.05, 61.39, 32.12]",.,"[152.58, 78.05, 209.26, 94.02, 202.7, 110.17, 147.87, 92.17]",1971.85
600403,600403,27f012ead792d9f8_10,27f012ead792d9f8,"[92.42, 779.91, 45.28, 30.71]",.,"[92.42, 783.72, 137.48, 779.91, 137.7, 809.5, 92.64, 810.62]",1390.55
899287,899287,dfa2cd122cbadd23_34,dfa2cd122cbadd23,"[749.38, 188.23, 57.94, 18.89]",.,"[749.38, 188.23, 807.32, 190.38, 806.89, 207.12, 749.38, 205.83]",1094.49
780589,780589,402f2bf859da5013_12,402f2bf859da5013,"[825.65, 326.71, 18.6, 18.1]",DR,"[829.15, 326.71, 844.25, 332.81, 840.65, 344.81, 825.65, 339.81]",336.66
601037,601037,ea5b1bd03d0b365a_53,ea5b1bd03d0b365a,"[247.79, 302.09, 13.74, 13.47]",of,"[247.79, 302.61, 261.01, 302.09, 261.53, 315.3, 249.61, 315.56]",185.08
604551,604551,09b9d93bdc065bb7_37,09b9d93bdc065bb7,"[338.93, 374.72, 8.78, 8.2]",+,"[338.93, 378.59, 343.04, 374.72, 347.71, 379.05, 343.04, 382.92]",72.0
38443,38443,73d99ca4adc78751_66,73d99ca4adc78751,"[420.64, 197.78, 44.6, 9.3]",SWITCH.,"[420.74, 197.78, 465.24, 197.78, 465.24, 207.08, 420.64, 207.08]",414.78
449701,449701,6fb31eed5bab1422_20,6fb31eed5bab1422,"[45.17, 754.75, 163.24, 55.26]",Deus,"[45.17, 754.75, 208.41, 755.18, 207.56, 808.33, 46.01, 810.01]",9020.64
227227,227227,8ecb65eb804dde42_2,8ecb65eb804dde42,"[331.06, 896.85, 12.19, 8.36]",LG,"[331.2, 896.85, 343.11, 896.85, 343.25, 905.21, 331.06, 905.21]",101.91
299494,299494,2af70dd1f9ea9043_84,2af70dd1f9ea9043,"[680.25, 120.44, 24.4, 13.8]",ear;,"[680.25, 120.84, 704.65, 120.44, 704.65, 133.84, 680.45, 134.24]",336.72
